intacess,intacshm,intacwk,intacscl,intaclib,intuse,intuseyr,intusefq,intsite,libuseyr,libusefq,libstop,libuswhy,libnowhy,intuswhy,libradeq,netradeq,libfind,netfind,libacinf,netacinf,libcurnt,netcurnt,libfun,intfun,surflib,surfnet,libusfut,netusfut,intnowhy,rsnonet,educ,rural,student,employed,income,gender,region,age,agecat4,internet,income3,libfreq,degree,kids
0,2,2,2,2,2,-1,-1,13,1,3,3,2,21,27,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,13,10,12,3,2,3,3,2,7,31,1,0,1,3,2,1
0,2,2,2,2,2,-1,-1,13,0,7,3,24,18,27,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,13,10,12,1,2,1,4,2,4,31,1,0,1,1,2,1
0,2,2,2,2,2,-1,-1,13,1,4,3,1,21,27,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,13,10,14,3,1,4,2,1,7,24,1,0,1,2,3,1
0,2,2,2,2,2,-1,-1,13,0,7,3,24,18,27,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,13,10,6,3,1,3,3,2,6,28,1,0,1,1,1,1
0,2,2,2,2,2,-1,-1,13,0,7,3,24,4,27,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,13,5,5,2,2,3,10,2,7,32,1,0,10,1,1,1
0,2,2,2,2,2,-1,-1,13,1,2,3,1,21,27,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,13,1,12,3,1,3,4,2,7,40,2,0,1,4,2,1
0,2,2,2,2,2,-1,-1,13,0,7,3,24,1,27,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,13,10,1,3,2,3,3,2,7,29,1,0,1,1,1,1
0,2,2,2,2,2,-1,-1,13,0,7,3,24,18,27,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,13,10,6,3,2,3,4,2,6,30,1,0,1,1,1,1
0,2,2,2,2,2,-1,-1,13,0,7,2,24,3,27,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,13,10,13,3,2,3,3,2,4,26,1,0,1,1,3,1
1,1,1,1,1,1,1.5,1,1,1,4,3,10,21,10,8,5,9,2,10,2,8,9,4,4,10,2,4,1,13,14,15,3,1,4,5,2,5,51,3,1,2,2,4,1
0,2,2,2,2,2,-1,-1,13,0,7,3,1,21,27,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,13,10,10,3,2,3,3,2,1,38,2,0,1,1,1,1
1,0,0,1,0,1,5.5,1,3,1,1,3,10,21,7,10,10,8,10,10,10,10,10,8,9,9,8,1,1,13,10,13,3,1,1,3,1,3,39,2,1,1,5,3,1
0,2,2,2,2,2,-1,-1,13,0,7,3,24,4,27,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,13,10,4,3,2,3,10,2,2,54,3,0,10,1,1,0
1,1,0,0,0,1,3.5,1,1,1,2,3,2,21,10,2,7,4,8,5,5,3,8,4,7,3,9,3,1,13,14,15,3,2,3,11,2,6,33,1,1,11,4,4,1
0,2,2,2,2,2,-1,-1,13,0,7,3,24,1,27,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,13,10,13,2,2,3,10,2,6,30,1,0,10,1,3,1
0,2,2,2,2,2,-1,-1,13,1,4,3,12,21,27,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,13,11,12,1,2,1,3,2,6,67,4,0,1,2,2,0
0,2,2,2,2,2,-1,-1,13,1,4,3,1,21,27,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,13,10,14,3,2,5,10,1,1,55,3,0,10,2,3,0
0,2,2,2,2,2,-1,-1,13,1,2,3,10,21,27,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,13,11,11,2,1,2,5,2,2,21,1,0,2,4,1,1
0,2,2,2,2,2,-1,-1,13,1,4,3,1,21,27,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,13,10,3,3,2,3,10,2,7,37,2,0,10,2,1,1
1,1,1,1,1,1,5,1,1,1,4,3,5,21,8,6,10,2,8,7,8,8,10,3,9,1,9,4,1,13,14,12,2,1,4,9,1,1,19,1,1,3,2,2,1
0,2,2,2,2,2,-1,-1,13,1,4,3,5,21,27,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,13,9,13,3,2,1,7,2,1,40,2,0,2,2,3,1
1,1,0,0,1,1,1,5,1,1,1,3,12,21,4,10,10,10,10,10,6,10,8,10,10,10,10,2,3,13,14,15,2,2,6,8,1,3,66,4,1,3,5,4,0
0,2,2,2,2,2,-1,-1,13,1,3,3,3,21,27,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,13,9,15,3,2,1,7,2,7,53,3,0,2,3,4,1
0,2,2,2,2,2,-1,-1,13,1,1,3,17,21,27,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,13,11,14,3,2,6,11,2,6,90,4,0,11,5,3,0
1,1,0,0,1,1,1.5,2,1,0,7,2,24,2,12,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5,2,13,14,15,3,2,5,6,2,3,51,3,1,2,1,4,1
1,1,1,0,1,1,3,2,1,0,7,2,24,1,26,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4,2,13,14,11,1,2,1,6,1,3,41,2,1,2,1,1,0
